,newid,Id,ActivityDate,TotalSteps,activityinSteps,TotalDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,TotalActiveMinutes,SedentaryMinutes,Calories,TotalMinutesAsleep,TotalTimeInBed,SleepQuality,SleepStart,SleepEnd,HoursSlept
327,6962181067_2016-05-03,6962181067,2016-05-03,12109,Active,8.11999988555908,1.74000000953674,2.03999996185303,4.32999992370605,21,36,267,324,654,2072,394,418,94.25837320574163,00:00:30,23:59:00,6.57
328,6962181067_2016-05-04,6962181067,2016-05-04,10147,Active,6.71000003814697,0.469999998807907,1.67999994754791,4.55000019073486,15,36,284,335,683,2086,442,455,97.14285714285714,00:00:00,23:59:00,7.37
329,6962181067_2016-05-05,6962181067,2016-05-05,10524,Active,6.96000003814697,0.990000009536743,1.1599999666214,4.80999994277954,14,22,305,341,591,2066,467,491,95.11201629327903,00:00:00,23:59:00,7.78
330,6962181067_2016-05-06,6962181067,2016-05-06,5908,Low active,3.91000008583069,0.0,0.0,3.91000008583069,0,0,299,299,717,1850,443,462,95.88744588744589,00:00:00,07:03:00,7.38
331,6962181067_2016-05-07,6962181067,2016-05-07,6815,Low active,4.5,0.0,0.0,4.5,0,0,328,328,745,1947,298,334,89.22155688622755,03:10:30,23:59:00,4.97
332,6962181067_2016-05-08,6962181067,2016-05-08,4188,Sedentary,2.76999998092651,0.0,0.519999980926514,2.25,0,14,151,165,709,1659,541,569,95.07908611599298,00:00:00,23:59:00,9.02
333,6962181067_2016-05-09,6962181067,2016-05-09,12342,Active,8.72000026702881,3.90000009536743,1.17999994754791,3.65000009536743,43,21,231,295,607,2105,489,497,98.39034205231388,00:00:00,23:59:00,8.15
334,6962181067_2016-05-10,6962181067,2016-05-10,15448,Highly active,10.210000038147,3.47000002861023,1.75,4.98999977111816,62,34,275,371,626,2361,469,481,97.5051975051975,00:00:00,23:59:00,7.82
335,6962181067_2016-05-11,6962181067,2016-05-11,6722,Low active,4.44000005722046,1.49000000953674,0.310000002384186,2.65000009536743,24,7,199,230,709,1855,452,480,94.16666666666667,00:00:00,23:59:00,7.53
336,6962181067_2016-05-12,6962181067,2016-05-12,3587,Sedentary,2.36999988555908,0.0,0.25,2.10999989509583,0,8,105,113,127,928,516,535,96.44859813084112,00:00:00,08:00:00,8.6
337,7007744171_2016-04-16,7007744171,2016-04-16,4631,Sedentary,3.09999990463257,0.0,0.0,3.09999990463257,0,0,203,203,1155,2076,79,82,96.34146341463415,14:06:30,15:27:30,1.32
338,7007744171_2016-05-01,7007744171,2016-05-01,5600,Low active,3.75,0.0,0.0,3.75,0,0,237,237,1142,2225,58,61,95.08196721311475,11:29:30,12:29:30,0.97
339,7086361926_2016-04-12,7086361926,2016-04-12,11317,Active,8.40999984741211,5.26999998092651,0.150000005960464,2.97000002861023,59,6,153,218,745,2772,514,525,97.90476190476191,00:00:30,23:59:00,8.57
340,7086361926_2016-04-13,7086361926,2016-04-13,5813,Low active,3.61999988555908,0.560000002384186,0.209999993443489,2.83999991416931,31,26,155,212,744,2516,451,465,96.98924731182795,00:00:00,23:59:00,7.52
341,7086361926_2016-04-14,7086361926,2016-04-14,9123,Somewhat active,6.11999988555908,2.02999997138977,0.330000013113022,3.66000008583069,35,32,189,256,787,2734,472,476,99.15966386554622,00:00:00,06:36:00,7.87
342,7086361926_2016-04-15,7086361926,2016-04-15,8585,Somewhat active,5.67000007629395,2.03999996185303,1.11000001430511,2.52999997138977,30,21,139,190,864,2395,377,386,97.66839378238342,00:19:00,06:44:00,6.28
343,7086361926_2016-04-19,7086361926,2016-04-19,10688,Active,7.28999996185303,3.52999997138977,1.23000001907349,2.50999999046326,67,69,124,260,671,2944,472,483,97.72256728778468,00:00:00,23:59:00,7.87
344,7086361926_2016-04-20,7086361926,2016-04-20,14365,Highly active,10.6400003433228,7.6399998664856,0.449999988079071,2.53999996185303,87,13,145,245,797,2997,492,502,98.00796812749005,00:00:00,06:37:00,8.2
345,7086361926_2016-04-21,7086361926,2016-04-21,9469,Somewhat active,6.17999982833862,1.36000001430511,0.300000011920929,4.51000022888184,19,6,206,231,758,2463,390,411,94.8905109489051,00:06:00,23:59:00,6.5
346,7086361926_2016-04-22,7086361926,2016-04-22,9753,Somewhat active,6.53000020980835,2.86999988555908,0.970000028610229,2.67000007629395,58,59,153,270,762,2846,428,448,95.53571428571429,00:00:00,06:47:00,7.13
347,7086361926_2016-04-24,7086361926,2016-04-24,3520,Sedentary,2.16000008583069,0.0,0.0,2.15000009536743,0,0,125,125,566,2049,681,704,96.73295454545455,00:27:00,23:59:00,11.35
348,7086361926_2016-04-25,7086361926,2016-04-25,10091,Active,6.82000017166138,3.75,0.699999988079071,2.36999988555908,69,39,129,237,706,2752,446,447,99.77628635346755,00:00:00,23:59:00,7.43
349,7086361926_2016-04-26,7086361926,2016-04-26,10387,Active,7.07000017166138,4.15999984741211,0.769999980926514,2.11999988555908,70,33,132,235,726,2781,485,500,97.0,00:00:00,23:59:00,8.08
